Symbol,Entrez Gene ID,Description
ABCA9,217262,"ATP-binding cassette, sub-family A (ABC1), member 9"
ABCE1,24015,"ATP-binding cassette, sub-family E (OABP), member 1"
ABLIM3,319713,"actin binding LIM protein family, member 3"
ABTB2,99382,ankyrin repeat and BTB (POZ) domain containing 2 
ACSL1,14081,acyl-CoA synthetase long-chain family member 1 
ADAMDEC1,58860,"ADAM-like, decysin 1"
ADAR,56417,"adenosine deaminase, RNA-specific "
ADM,11535,adrenomedullin
AGPAT9,231510,1-acylglycerol-3-phosphate O-acyltransferase 9 
AIM2,383619,absent in melanoma 2
AKT3,23797,v-akt murine thymoma viral oncogene homolog 3 
ALDH1A1,11668,"aldehyde dehydrogenase 1 family, member A1"
ALYREF,21681,Aly/REF export factor
AMPH,218038,amphiphysin 
ANGPTL1,72713,angiopoietin-like 1 
ANKRD22,52024,Ankyrin Repeat Domain 22
APOL2,239552,"apolipoprotein L, 2 "
APOL6,71939,"apolipoprotein L, 6 "
AQP9,64008,"apolipoprotein L, 9"
ARG2,11847,arginase 2 
ARHGEF3,71704,Rho guanine nucleotide exchange factor (GEF) 3
ARNTL,11865,aryl hydrocarbon receptor nuclear translocator-like
ATF2,11909,activating transcription factor 2 
ATF3,11910,activating transcription factor 3 
B2M,12010,beta-2-microglobulin
BAG1,12017,BCL2-associated athanogene
BAK1,12018,BCL2-antagonist/killer 1
BANF1,23825,barrier to autointegration factor 1
BATF2,74481,"basic leucine zipper transcription factor, ATF-like 2 "
BAX,12028,BCL2-associated X protein
BCL2,12043,B cell leukemia/lymphoma 2
BCL2L1,12048,BCL2-like 1
BCL3,12051,B cell leukemia/lymphoma 3
BIRC2,11797,baculoviral IAP repeat-containing 2
BIRC3,11796,baculoviral IAP repeat-containing 3
BLVRA,109778,biliverdin reductase A
BLZF1,66352,basic leucine zipper nuclear factor 1 
BST2,69550,bone marrow stromal cell antigen 2 
BUB1,12235,BUB1 mitotic checkpoint serine/threonine kinase
C10orf10,213393,chromosome 10 open reading frame 10 
C15orf48,433470,chromosome 15 open reading frame 48 
C1S,317677,"complement component 1, s subcomponent"
C22orf28,28088,chromosome 22 open reading frame 28
C4orf32,70617,chromosome 4 open reading frame 32
C4orf33,73852,chromosome 4 open reading frame 33
C9orf91,230279,chromosome 9 open reading frame 91 
CALR,12317,calreticulin
CANX,12330,calnexin
CASP1,12362,caspase 1
CASP7,12369,"caspase 1, apoptosis-related cysteine peptidase "
CCDC75,53951,"caspase 7, apoptosis-related cysteine peptidase"
CCL11,20292,C-C Motif Chemokine Ligand 11
CCL2,20293,C-C Motif Chemokine Ligand 2
CCL22,20299,C-C Motif Chemokine Ligand 22
CCL4,20303,C-C Motif Chemokine Ligand 4
CCL5,20304,C-C Motif Chemokine Ligand 5
CCNA1,12427,cyclin A1 
CCR1,12768,chemokine (C-C motif) receptor 1 
CCR7,12775,chemokine (C-C motif) receptor 7 
CD163,93671,CD163 molecule 
CD274,60533,CD274 molecule 
CD38,12494,CD38 molecule 
CD40,21939,CD40molecule 
CD69,12515,CD69 molecule 
CD74,16149,CD74vmolecule 
CD9,12527,CD9 molecule 
CDK17,237459,cyclin-dependent kinase 17 
CDK18,18557,cyclin-dependent kinase 18 
CDKN1A,12575,"cyclin-dependent kinase inhibitor 1A (p21, Cip1) "
CES1,12623,carboxylesterase 1 
CFB,14962,complement factor B 
CHMP5,76959,charged multivesicular body protein 5
CHUK,12675,conserved helix-loop-helix ubiquitous kinase
CIITA,12265,class II transactivator
CLEC4D,17474,"C-type lectin domain family 4, member D "
CLEC4E,56619,"C-type lectin domain family 4, member E "
CLEC5A,23845,"C-type lectin domain family 5, member a"
CNP,12799,"2',3'-cyclic nucleotide 3' phosphodiesterase "
COMMD3,12238,COMM domain containing 3 
CPT1A,12894,carnitine palmitoyltransferase 1A (liver)
CREB3L3,208677,cAMP responsive element binding protein 3-like 3 
CREBBP,12914,CREB binding protein
CREBZF,233490,CREB/ATF bZIP transcription factor
CRP,12944,C-Reactive Protein
CRY1,12952,cryptochrome circadian clock 1
CSRNP1,215418,cysteine-serine-rich nuclear protein 1
CX3CL1,20312,chemokine (C-X3-C motif) ligand 1
CXCL10,15945,C-X-C Motif Chemokine Ligand 10
CXCL9,17329,C-X-C Motif Chemokine Ligand 9
CXCR4,12767,chemokine (C-X-C motif) receptor 4
CYP1B1,13078,"cytochrome P450, family 1, subfamily B, polypeptide 1 "
CYTH1,19157,cytohesin 1
DCP1A,75901,Decapping MRNA 1A
DDIT4,74747,DNA-damage-inducible transcript 4 
DDX58,230073,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 
DDX60,234311,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60
DHX58,80861,DEXH (Asp-Glu-X-His) box polypeptide 58
DTX3L,209200,"deltex 3 like, E3 ubiquitin ligase"
DUOX2,214593,dual oxidase 2
DUSP5,240672,dual specificity phosphatase 5 
DYNLT1,100040531,"dynein, light chain, Tctex-type 1 "
EHD4,98878,EH-domain containing 4 
EIF2AK2,19106,eukaryotic translation initiation factor 2-alpha kinase 2 
EIF3L,223691,"eukaryotic translation initiation factor 3, subunit L "
ELF1,13709,E74-like factor 1 (ets domain transcription factor) 
ENPP1,18605,ectonucleotide pyrophosphatase/phosphodiesterase 1 
EPAS1,13819,endothelial PAS domain protein 1
ERLIN1,226144,ER lipid raft associated 1 
ETV6,14011,ets variant 6 
EXT1,14042,exostosin glycosyltransferase 1 
FADD,14082,Fas (TNFRSF6)-associated via death domain
FAM125B,72543,"family with sequence similarity 125, member B "
FAM134B,66270,"family with sequence similarity 134, member B "
FAM46A,212943,"family with sequence similarity 46, member A"
FAM46C,74645,"family with sequence similarity 46, member C "
FAM70A,245386,"family with sequence similarity 70, member A "
FBXO6,50762,F-box protein 6
FCGR1A,14129,"Fc fragment of IgG, high affinity Ia, receptor (CD64) "
FFAR2,233079,free fatty acid receptor 2
FGR,14191,"FGR proto-oncogene, Src family tyrosine kinase"
FKBP5,14229,FK506 binding protein 5 
FLT1,14254,fms-related tyrosine kinase 1 
FNDC3B,72007,fibronectin type III domain containing 3B
FNDC4,64339,fibronectin type III domain containing 4
FOSL1,14283,fos-like antigen 1
FUT4,14345,"fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)"
Fv1,14349,Friend virus susceptibility 1
FZD5,14367,frizzled class receptor 5
G6PC,14377,Glucose-6-Phosphatase Catalytic Subunit
GAK,231580,cyclin G associated kinase 
GALNT2,108148,polypeptide N-acetylgalactosaminyltransferase 2
GBP2,14468,"guanylate binding protein 2, interferon-inducible"
GBP4,55932,guanylate binding protein 4 
GBP5,229898,guanylate binding protein 5 
GCA,227960,"grancalcin, EF-hand calcium binding protein"
GCH1,14528,GTP cyclohydrolase 1 
GEM,14579,GTP binding protein overexpressed in skeletal muscle 
GJA4,14612,"gap junction protein, alpha 4, 37kDa "
GK,14933,glycerol kinase
GLIPR2,384009,GLI pathogenesis-related 2
GLRX,93692,glutaredoxin (thioltransferase) 
GMPR,66355,guanosine monophosphate reductase
GPX2,14776,glutathione peroxidase 2 
GTPBP2,56055,GTP binding protein 2
GZMB,14939,Granzyme B
HBXIP,68576,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5"
HEG1,77446,heart development protein with EGF-like domains 1 
HERC6,67138,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
HESX1,15209,HESX homeobox 1 
HK2,15277,hexokinase 2
HLA-F,100529082,"major histocompatibility complex, class I, F"
HLA-G,14991,"major histocompatibility complex, class I, G"
HNRNPUL1,232989,heterogeneous nuclear ribonucleoprotein U-like 1
HPSE,15442,heparanase 
HSH2D,209488,hematopoietic SH2 domain containing
HYAL1,15586,hyaluronoglucosaminidase 1
HYAL2,15587,hyaluronoglucosaminidase 2
HYAL3,109685,hyaluronoglucosaminidase 3
IDO1,15930,"indoleamine 2,3-dioxygenase 1"
IFI27L2,76933,"interferon, alpha-inducible protein 27-like 2"
IFI30,65972,"interferon, gamma-inducible protein 30"
IFI35,70110,"interferon, gamma-inducible protein 35"
IFI44,99899,"interferon, gamma-inducible protein 44"
IFI44L,15061,interferon-induced protein 44-like
IFIH1,71586,interferon induced with helicase C domain 1
IFIT1,112419,interferon-induced protein with tetratricopeptide repeats 1 
IFIT2,15958,interferon-induced protein with tetratricopeptide repeats 2
IFIT3,667370,interferon-induced protein with tetratricopeptide repeats 3
IFITM1,68713,interferon induced transmembrane protein 1
IFITM2,80876,interferon induced transmembrane protein 2
IFITM3,66141,interferon induced transmembrane protein 3
IFNE,230405,interferon epsilon
IGFBP2,16008,"insulin-like growth factor binding protein 2, 36kDa"
IKBKB,16150,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta
IKBKE,56489,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Epsilon
IKBKG,16151,"Inhibitor Of Kappa Light Polypeptide Gene Enhancer In B-Cells, Kinase Gamma"
IL10,16153,interleukin 10
IL12B,16160,"interleukin 12,B"
IL12RB1,16161,interleukin 12 receptor B1
IL15,16168,interleukin 15
IL15RA,16169,"interleukin 15 receptor, alpha"
IL17RB,50905,interleukin 17 receptor B
IL1R1,16177,Interleukin 1 Receptor Type 1
IL1RN,16181,interleukin 1 receptor antagonist 
IL23A,83430,"interleukin 23,A"
IL23R,209590,"interleukin 23 receptor,"
IL28RA,242700,"interleukin 28 receptor, alpha"
IL6,16193,interleukin 6
IL6ST,16195,interleukin 6 signal transducer
IMPA2,114663,inositol(myo)-1(or 4)-monophosphatase 2
IRF1,16362,interferon regulatory factor 1 
IRF2,16363,interferon regulatory factor 2 
IRF3,54131,interferon regulatory factor 3
IRF7,54123,interferon regulatory factor 7
IRF9,16391,interferon regulatory factor 9
ISG15,100038882,ISG15 ubiquitin-like modifier
ISG20,57444,interferon stimulated exonuclease gene 20kDa 
ITCH,16396,"itchy, E3 ubiquitin protein ligase"
IVNS1ABP,117198,influenza virus NS1A binding protein
JAK2,16452,Janus kinase 2
JUN,16476,jun proto-oncogene
JUNB,16477,jun B proto-oncogene
LAMP3,239739,lysosomal-associated membrane protein 3 
LAP3,66988,leucine aminopeptidase 3
LCN2,16819,lipocalin 2
LEPR,16847,leptin receptor
LGALS3,16854,"lectin, galactoside-binding, soluble, 3 "
LGALS9,16859,"lectin, galactoside-binding, soluble, 9"
LGMN,19141,legumain
LIPA,16889,legumain
LMO2,16909,"lipase A, lysosomal acid, cholesterol esterase "
LTA,16992,LIM domain only 2 (rhombotin-like 1) 
LY6E,17069,"lymphocyte antigen 6 complex, locus E"
MAB21L2,23937,mab-21-like 2 (C. elegans) 
MAFB,16658,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B
MAFF,17133,v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F
MAP3K14,53859,mitogen-activated protein kinase kinase kinase 14
MAP3K5,26408,mitogen-activated protein kinase kinase kinase 5
MAPKAPK2,17164,MAP kinase-activated protein kinase 2
MASTL,67121,microtubule associated serine/threonine kinase-like 
MAVS,228607,mitochondrial antiviral signaling protein
MAX,17187,MYC associated factor X 
MB21D1,214763,Mab-21 domain containing 1
MCL1,17210,Mab-21 domain containing 1
MED14,26896,myeloid cell leukemia 1
MFN1,67414,mitofusin 1
MICB,243864,MHC I like leukocyte 2
MKX,210719,mohawk homeobox
MOV10,17454,Mov10 RISC complex RNA helicase
MS4A4A,666907,"membrane-spanning 4-domains, subfamily A, member 4A"
MST1R,19882,macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
MT1H,17750,metallothionein 1H
MTHFD2L,665563,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like
MYD88,17874,myeloid differentiation primary response 88
MYOF,226101,myoferlin 
N4BP1,80750,NEDD4 binding protein 1
NAMPT,59027,nicotinamide phosphoribosyltransferase
NAPA,108124,"N-ethylmaleimide-sensitive factor attachment protein, alpha"
NCF1,17969,neutrophil cytosolic factor 1
NCOA3,17979,nuclear receptor coactivator 3 
NDC80,67052,NDC80 kinetochore complex component
NFIL3,18030,"nuclear factor, interleukin 3 regulated "
NLRX1,270151,N-myc (and STAT) interactor
NMI,64685,nucleotide-binding oligomerization domain containing 2 
NOD2,257632,"nitric oxide synthase 2, inducible"
NOS2,18126,neuronal PAS domain protein 2
NPAS2,18143,neuronal PAS domain protein 2
NT5C3,107569,"5'-nucleotidase, cytosolic III"
NUP50,18141,nucleoporin 50kDa
OAS1,23960,"2'-5'-oligoadenylate synthetase 1, 40/46kDa "
Oas1b,23961,2'-5' oligoadenylate synthetase 1B
OAS2,246728,"2'-5'-oligoadenylate synthetase 2, 69/71kDa"
OAS3,246727,"2'-5'-oligoadenylate synthetase 3, 100kDa"
OASL,231655,2'-5'-oligoadenylate synthetase-like
ODC1,18263,ornithine decarboxylase 1
OGFR,72075,opioid growth factor receptor
OPTN,71648,optineurin
OTUB1,107260,"OTU domain, ubiquitin aldehyde binding 1"
OTUB2,68149,"OTU domain, ubiquitin aldehyde binding 2"
P2RY6,233571,"pyrimidinergic receptor P2Y, G-protein coupled, 6 "
PABPC4,230721,"poly(A) binding protein, cytoplasmic 4 (inducible form)"
PADI2,18600,"peptidyl arginine deiminase, type II"
PDGFRL,68797,platelet-derived growth factor receptor-like 
PDIA3,14827,protein disulfide isomerase associated 3
PDK1,228026,"pyruvate dehydrogenase kinase, isozyme 1"
PFDN6,14976,prefoldin subunit 6
PFKFB3,170768,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 "
PHF15,76901,PHD finger protein 15
PI4K2B,67073,phosphatidylinositol 4-kinase type 2 beta
PIAS1,56469,protein inhibitor of activated STAT 1
PIM3,223775,"Pim-3 proto-oncogene, serine/threonine kinase"
PIN1,23988,protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1
PLEKHA4,69217,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 4 "
PLIN2,11520,perilipin 2
PLP1,18823,Proteolipid Protein 1
PLSCR1,22038,phospholipid scramblase 1
PML,18854,promyelocytic leukemia
PMM2,54128,phosphomannomutase 2 
PNPT1,71701,polyribonucleotide nucleotidyltransferase 1 
PNRC1,108767,proline-rich nuclear receptor coactivator 1
PPM1K,243382,"protein phosphatase, Mg2+/Mn2+ dependent, 1K"
PRKD2,101540,protein kinase D2
PRKRA,23992,"protein kinase, interferon inducible double stranded RNA dependent activator"
PSMB5,19173,"proteasome (prosome, macropain) subunit, beta type, 5"
PSMB6,19175,"proteasome (prosome, macropain) subunit, beta type, 6"
PSMB8,16913,"proteasome (prosome, macropain) subunit, beta type, 8"
PSMB9,16912,"proteasome (prosome, macropain) subunit, beta type, 9 "
PTPN2,19255,"protein tyrosine phosphatase, non-receptor type 2"
PTPN6,15170,"protein tyrosine phosphatase, non-receptor type 6"
PUS1,56361,pseudouridylate synthase 1
PXK,218699,PX domain containing serine/threonine kinase
RAB27A,11891,"RAB27A, member RAS oncogene family"
RAF1,110157,v-raf-leukemia viral oncogene 1
RASGEF1B,320292,"RasGEF domain family, member 1B"
RASSF4,213391,Ras association (RalGDS/AF-6) domain family member 4
RBCK1,24105,RanBP-type and C3HC4-type zinc finger containing 1 
RBM25,67039,RNA binding motif protein 25
RELA,19697,v-rel reticuloendotheliosis viral oncogene homolog A (avian)
RGS1,50778,regulator of G-protein signaling 1 
RIPK1,19766,receptor-interacting serine-threonine kinase 2
RNASE4,58809,Ribonuclease A Family Member 4
RNASEL,24014,"ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)"
RNF114,81018,ring finger protein 114 
RNF216,108086,ring finger protein 216
RPL22,19934,ribosomal protein L22 
RPS15A,267019,ribosomal protein S15A
RSAD2,58185,radical S-adenosyl methionine domain containing 2 
RTP4,67775,Receptor Transporter Protein 4
S100A8,20201,S100 calcium binding protein A8
SAA1,20209,serum amyloid A1
SAMD4A,74480,sterile alpha motif domain containing 4A
SAMHD1,56045,SAM domain and HD domain 1 
SAT1,20229,spermidine/spermine N1-acetyltransferase 1
SCARB2,12492,"scavenger receptor class B, member 2 "
SCO2,100126824,SCO2 cytochrome c oxidase assembly protein
SECTM1,209588,secreted and transmembrane 1 
SERPINB9,20723,"serpin peptidase inhibitor, clade B (ovalbumin), member 9"
SERPINE1,18787,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"
SERPING1,12258,"serpin peptidase inhibitor, clade G (C1 inhibitor), member 1 "
SIKE1,66641,suppressor of IKBKE 1
SIRPA,19261,signal-regulatory protein alpha
SLC15A3,65221,"solute carrier family 15 (oligopeptide transporter), member 3"
SLC16A1,20501,"solute carrier family 16 (monocarboxylate transporter), member 1"
SLC1A1,20510,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1 "
SLC25A28,246696,"solute carrier family 25 (mitochondrial iron transporter), member 28 "
SLC25A30,67554,"solute carrier family 25, member 30"
SLFN5,327978,schlafen family member 5
SMAD3,17127,SMAD family member 3
SNN,20621,stannin
SOCS1,12703,suppressor of cytokine signaling 1
SOCS2,216233,suppressor of cytokine signaling 2
SOCS3,12702,suppressor of cytokine signaling 3
SP110,109032,SP110 nuclear body protein
SPACA3,75622,sperm acrosome associated 3
SPN,20737,sialophorin
SPSB1,74646,splA/ryanodine receptor domain and SOCS box containing 1
SPTLC2,20773,"serine palmitoyltransferase, long chain base subunit 2 "
SSBP3,72475,single stranded DNA binding protein 3
STAP1,56792,signal transducing adaptor family member 1
STARD5,170460,StAR-related lipid transfer (START) domain containing 5 
STAT1,20846,"signal transducer and activator of transcription 1, 91kDa"
STAT2,20847,"signal transducer and activator of transcription 2, 113kDa "
STAT3,20848,signal transducer and activator of transcription 3
STEAP4,117167,STEAP family member 4
SUN2,223697,Sad1 and UNC84 domain containing 2
TAGAP,72536,T-cell activation RhoGTPase activating protein
TANK,21353,TRAF family member-associated Nf-kappa B activator
TAP1,21354,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
TAP2,21355,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
TAPBP,21356,TAP binding protein
TBK1,56480,TANK-binding kinase 1
TBX3,21386,T-box 3 
TCF7L2,21416,"transcription factor 7-like 2 (T-cell specific, HMG-box)"
TDRD7,100121,tudor domain containing 7 
TFEC,21426,transcription factor EC
THBD,21824,thrombomodulin
TICAM1,106759,toll-like receptor adaptor molecule 1
TIMP1,21857,TIMP metallopeptidase inhibitor 1
TLK2,24086,tousled-like kinase 2 
TLR3,142980,toll-like receptor 3
TLR7,170743,toll-like receptor 7
TLR8,170744,toll-like receptor 8
TMEM140,68487,transmembrane protein 140
TMEM173,72512,transmembrane protein 173
TMEM51,214359,transmembrane protein 51
TNF,21926,tumor necrosis factor
TNFAIP3,21929,"tumor necrosis factor, alpha-induced protein 3"
TNFRSF10A,21933,"tumor necrosis factor receptor superfamily, member 10a"
TNFRSF9,21942,"tumor necrosis factor, alpha-induced protein 9"
TNFSF10,22035,"tumor necrosis factor (ligand) superfamily, member 10"
TRAF2,22030,TNF Receptor Associated Factor 2 
TRAF3,22031,TNF Receptor Associated Factor 4
TRAF6,22034,TNF Receptor Associated Factor 6
TRAFD1,231712,TRAF-type zinc finger domain containing 1 
TREX1,22040,three prime repair exonuclease 1 
TRIM14,74735,tripartite motif containing 14
TRIM21,20821,tripartite motif containing 21
TRIM25,217069,tripartite motif containing 25
TRIM38,214158,tripartite motif containing 38
TRIM5,667823,tripartite motif containing 5
TRIM56,384309,tripartite motif containing 56
TXNIP,56338,Thioredoxin Interacting Protein
TYK2,54721,Tyrosine Kinase 2
TYMP,72962,thymidine phosphorylase 
UBA7,74153,ubiquitin-like modifier activating enzyme 7
UBE2L6,56791,ubiquitin-conjugating enzyme E2L 6
ULK4,209012,unc-51 like kinase 4 
UNC93B1,54445,unc-93 homolog B1 (C. elegans)
UPP2,76654,Uridine Phosphorylase 2
URI1,19777,"URI1, prefoldin-like chaperone"
USP18,24110,ubiquitin specific peptidase 18
VAMP5,53620,vesicle-associated membrane protein 5
VAV1,22324,vav 1 oncogene
VEGFC,22341,vascular endothelial growth factor C
VMP1,75909,vacuole membrane protein 1
WARS,22375,tryptophanyl-tRNA synthetase
WHAMM,434204,"WAS protein homolog associated with actin, golgi membranes and microtubules"
XAF1,327959,XIAP associated factor 1
XCL1,16963,chemokine (C motif) ligand 1
XPR1,19775,xenotropic and polytropic retrovirus receptor 1
ZBP1,58203,Z-DNA Binding Protein 1
ZC3HAV1,78781,"zinc finger CCCH-type, antiviral 1"
ZNF295,114565,zinc finger protein 295 
ZNF385B,241494,zinc finger protein 385B
